Name,Date,Temperature,Dew,Humidity,Precipitation
Madhya Pradesh,30-12-2023,18.8,10.5,61.7,0
Madhya Pradesh,31-12-2023,19.9,12.6,65.9,0
Madhya Pradesh,01-01-2024,19,14,75.5,0
Madhya Pradesh,02-01-2024,17.9,13.9,80.1,0
Madhya Pradesh,03-01-2024,18,13.8,79.4,1
Madhya Pradesh,04-01-2024,15.4,14.2,93.3,8
Madhya Pradesh,05-01-2024,17.2,14.6,87,0.3
Madhya Pradesh,06-01-2024,16.1,14.2,89.8,0
Madhya Pradesh,07-01-2024,16.3,13.7,86.5,0.5
Madhya Pradesh,08-01-2024,18.2,16.9,92.9,0
Madhya Pradesh,09-01-2024,19.1,16.3,86.3,0
Madhya Pradesh,10-01-2024,15.5,14,91.4,0
Madhya Pradesh,11-01-2024,17.4,15.4,88.6,0
Madhya Pradesh,12-01-2024,19,12.9,70.5,0
Madhya Pradesh,13-01-2024,20.7,14.1,68.7,0
