Name,Date,Temperature,Dew,Humidity,Precipitation
Madhya Pradesh,01-01-2022,16.2,10.7,71,0
Madhya Pradesh,02-01-2022,16.5,11.7,74.3,0
Madhya Pradesh,03-01-2022,16.6,10.1,67.9,0
Madhya Pradesh,04-01-2022,17.6,9.3,61.9,0
Madhya Pradesh,05-01-2022,19.2,11.3,61.9,0
Madhya Pradesh,06-01-2022,19.7,14.6,73.9,0
Madhya Pradesh,07-01-2022,17.7,15.8,89,26
Madhya Pradesh,08-01-2022,19.2,16.2,83.9,3
Madhya Pradesh,09-01-2022,16.8,14.5,86.8,7
Madhya Pradesh,10-01-2022,14.1,9.5,75.8,0
Madhya Pradesh,11-01-2022,13.2,10,82.2,0
Madhya Pradesh,12-01-2022,13.4,8,71.4,0
Madhya Pradesh,13-01-2022,13.7,7.5,67.5,0
Madhya Pradesh,14-01-2022,13.8,9.3,75.5,0
Madhya Pradesh,15-01-2022,13.5,9.1,75.9,0
Madhya Pradesh,16-01-2022,12.3,8.2,79.1,0
Madhya Pradesh,17-01-2022,13.9,9.2,75.5,0
Madhya Pradesh,18-01-2022,14.8,9.2,72.1,0
Madhya Pradesh,19-01-2022,14.4,5.1,59.9,0
Madhya Pradesh,20-01-2022,17.5,8.3,59,0
Madhya Pradesh,21-01-2022,18,9,60.1,0
Madhya Pradesh,22-01-2022,18.3,11.2,64.3,0.1
Madhya Pradesh,23-01-2022,15.8,9.6,68,0
Madhya Pradesh,24-01-2022,13.4,5.4,60.6,0
Madhya Pradesh,25-01-2022,12.4,3.7,57.6,0
Madhya Pradesh,26-01-2022,12.3,3.8,58.7,0
Madhya Pradesh,27-01-2022,12.3,2,52.6,0
Madhya Pradesh,28-01-2022,13.2,1.8,48.5,0
Madhya Pradesh,29-01-2022,15.2,3,48.8,0
Madhya Pradesh,30-01-2022,17.3,4.5,48.5,0
Madhya Pradesh,31-01-2022,17.7,4.4,45.4,0
Madhya Pradesh,01-02-2022,18.6,8.7,56.3,0
Madhya Pradesh,02-02-2022,20,10.1,56.6,0
Madhya Pradesh,03-02-2022,20.1,7.8,47,0
Madhya Pradesh,04-02-2022,16.1,2.5,44.3,0
Madhya Pradesh,05-02-2022,16.5,0.8,38.8,0
Madhya Pradesh,06-02-2022,17.5,3.5,42.4,0
Madhya Pradesh,07-02-2022,19,4.6,42.3,0
